2026-07-26 21:21:45 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=139795c6-ce7e-43e6-8935-8d05a165ceea
2026-07-26 21:21:46 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:21:48 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=139795c6-ce7e-43e6-8935-8d05a165ceea
2026-07-26 21:21:48 | INFO     | conftest | Test session finished
2026-07-26 21:21:48 | INFO     | conftest | ======================================================================
2026-07-26 21:21:48 | INFO     | conftest | ======================================================================
2026-07-26 21:21:48 | INFO     | conftest | Starting new test session
2026-07-26 21:21:48 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:21:48 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:21:48 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:21:52 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=bd3b83d4-9a39-4bad-a11d-b17370dcedd9
2026-07-26 21:21:52 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:21:54 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_default_quantity_is_one_20260726_212153_363023.png
2026-07-26 21:21:54 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_default_quantity_is_one_20260726_212153_363023.png
2026-07-26 21:21:54 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=bd3b83d4-9a39-4bad-a11d-b17370dcedd9
2026-07-26 21:21:54 | INFO     | conftest | Test session finished
2026-07-26 21:21:54 | INFO     | conftest | ======================================================================
2026-07-26 21:21:54 | INFO     | conftest | ======================================================================
2026-07-26 21:21:54 | INFO     | conftest | Starting new test session
2026-07-26 21:21:54 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:21:54 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:21:54 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:21:58 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=f7f4185a-a801-4b27-8141-ca408ba60e68
2026-07-26 21:21:58 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:21:59 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_increase_product_quantity_20260726_212158_840175.png
2026-07-26 21:21:59 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_increase_product_quantity_20260726_212158_840175.png
2026-07-26 21:21:59 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=f7f4185a-a801-4b27-8141-ca408ba60e68
2026-07-26 21:21:59 | INFO     | conftest | Test session finished
2026-07-26 21:21:59 | INFO     | conftest | ======================================================================
2026-07-26 21:22:04 | INFO     | conftest | ======================================================================
2026-07-26 21:22:04 | INFO     | conftest | Starting new test session
2026-07-26 21:22:04 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:22:04 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:22:04 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:22:08 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=7f94ad1f-2c86-4eb8-9e96-1c16e8d37b94
2026-07-26 21:22:14 | ERROR    | core.waits.wait_utils | Element was not visible: ('accessibility id', 'products screen')
